txId,blockHash,blockHeight,timestamp,inputAddresses,outputAddresses,amount,fee,senderAddress,recipientAddress,transactionType
r1s2t3u4v5w6x7y8z9a0b1c2d3e4f5g6,00000000000000000004ca2ba689a0e09ec9f5f7d4823fa18db2307a74cefaf,553483,2021-05-14T09:15:36Z,"3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97","bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,bc1q34aq5drpuwy3wgl9lhup9892qp6svr8ldzyy7c,bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq",2.3,0.0005,multiple_addresses,multiple_addresses,complex_pattern
s1t2u3v4w5x6y7z8a9b0c1d2e3f4g5h6,00000000000000000008adf45edca2b38e93bafb99c9e9b41afb6584a7eecc5,553484,2021-05-14T10:22:49Z,"bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh",bc1q7v5m3gu7d5nhnkq9qv86j9np92rnk4myn07pzc,0.75,0.0002,bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,bc1q7v5m3gu7d5nhnkq9qv86j9np92rnk4myn07pzc,complex_pattern
t1u2v3w4x5y6z7a8b9c0d1e2f3g4h5i6,00000000000000000003ff12cebc1d1aaefc9cad21e7dac693bd9a8eb5e3b57,553485,2021-05-14T10:37:18Z,"bc1q34aq5drpuwy3wgl9lhup9892qp6svr8ldzyy7c",bc1q9yscq3l2h5l2nslc8axkxvsvazezx49q7zq3uhg3g4v3rc5lypyqdl3sj5,0.75,0.0002,bc1q34aq5drpuwy3wgl9lhup9892qp6svr8ldzyy7c,bc1q9yscq3l2h5l2nslc8axkxvsvazezx49q7zq3uhg3g4v3rc5lypyqdl3sj5,complex_pattern
u1v2w3x4y5z6a7b8c9d0e1f2g3h4i5j6,00000000000000000001b83c9d08f9bbb4c95bd1c4ec5bd6de71fced7456ec1,553486,2021-05-14T10:53:42Z,"bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq",bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,0.75,0.0002,bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,complex_pattern
v1w2x3y4z5a6b7c8d9e0f1g2h3i4j5k6,00000000000000000007da93eb45f8cf68dccb7ddd8b53bfeab912f633bec5f,553487,2021-05-14T11:15:07Z,"bc1q7v5m3gu7d5nhnkq9qv86j9np92rnk4myn07pzc,bc1q9yscq3l2h5l2nslc8axkxvsvazezx49q7zq3uhg3g4v3rc5lypyqdl3sj5,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx","1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK,38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ,bc1qc7slrfxkknqcq2jevvvkdgvrt8080852dfjewde450xdlk4ugp7szw5tk9",2.25,0.0006,multiple_addresses,multiple_addresses,complex_pattern
w1x2y3z4a5b6c7d8e9f0g1h2i3j4k5l6,00000000000000000008a3efd5e3fb1f6ac5d4b2bcadf65f8a91532fccbedc4,553488,2021-05-14T11:42:33Z,"1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK",bc1qgl7h3v4kgenvr3mcx50tse3tpds8njtsjncvvk,0.25,0.0001,1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK,bc1qgl7h3v4kgenvr3mcx50tse3tpds8njtsjncvvk,complex_pattern
x1y2z3a4b5c6d7e8f9g0h1i2j3k4l5m6,00000000000000000005e6a5d741e55bedf48892db9fd51c5ff7a54ba59c1c5,553489,2021-05-14T11:58:07Z,"38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ",3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5,0.25,0.0001,38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ,3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5,complex_pattern
y1z2a3b4c5d6e7f8g9h0i1j2k3l4m5n6,00000000000000000002c47d76f7a245a5d55cfdcbdac73b7f94f310b9d1b97,553490,2021-05-14T12:14:51Z,"bc1qc7slrfxkknqcq2jevvvkdgvrt8080852dfjewde450xdlk4ugp7szw5tk9",bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,0.25,0.0001,bc1qc7slrfxkknqcq2jevvvkdgvrt8080852dfjewde450xdlk4ugp7szw5tk9,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,complex_pattern
z1a2b3c4d5e6f7g8h9i0j1k2l3m4n5o6,00000000000000000007bef9ee69cd8ab1242dbb5c77ee37faaa9ae4f8b5ecb,553491,2021-05-14T13:05:22Z,"bc1qgl7h3v4kgenvr3mcx50tse3tpds8njtsjncvvk,3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej","bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q,14qViLJfdGaP4EeHnDyJbEGQysnCpwk3gd,1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2",0.75,0.0002,multiple_addresses,multiple_addresses,complex_pattern
a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6,00000000000000000008d4fc1e37d9ac4b4a0ca9e6ff7f22f76a84ad58c4e81,553492,2021-05-14T13:45:57Z,"bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4",3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,0.19,0.0001,bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,complex_pattern
