hash,timestamp,input_addresses,input_values,output_addresses,output_values,fee
d01b8eb4da0acc926b99f8e9e12f1db84afa7525546675488d7938a54d3273a5,1640976784,"['1ce4e884247b237e6f932f4fe4ff30e68a', 'b2f1bf21d8c2cf0edc34739a9c20c7c314']","[2.78443745, 2.66451002]",['40dd527ad2e14c2e3e0f88b95ce513e7c3'],[5.02107065],0.0952289
9967fc571c52b5d92d042993abf0e8ecf42b1b29c9d6161343cfa8c012ebcd78,1641012524,['e7823a422eb566ac80671d684e17a48534'],[7.39624818],"['4f70aa43bd89f71e2cded8f7103a9e6536', '293cdd5e9dbddb1c2b6d3aa86eca72ff1c']","[1.30049273, 6.08817306]",0.00758239
d8050bdae7eab3a4c3cf55ce4c79d5f5052c8ea3bac650969cee12448322bf31,1641065548,"['2e30e81d131f2de44acd87f5ae87f89f0b', 'edc66288a86874a560b59eb3d8d39d5b0e']","[4.28694033, 1.58129249]","['2a25ef22fe8ab9dfb87bc52083e639603b', '21ed0ce9c8b33c23665335828ff5978a6a', 'b1bcb5f755249ffe296e09fa4cc26525ec', '1d5b65d7e840afcfd23c4d74aca5b322cb', 'c816c976cc4e32fe16f3356407338a4e37']","[2.15349414, 0.79418728, 1.03431939, 0.40724138, 1.42710656]",0.05188407
77c4e0df19e17f2cfeb8d8a0c027c7af044c1ac3c32a09a96769d6fb41e3abfe,1641104869,['fdbc30246eb7bbc636d7b57bc54389979f'],[1.4534612],['d24a67d9462218fae4672f3534f0ef1a9c'],[1.44574529],0.00771591
3388c764af9e4bbb611f170b4bde54a4a6e388b2b536efc085d9a520086d2bf0,1641113713,"['d5f7ce1a9e9dd4f30c87c8623e9d924773', '90cfb34f6424e918365dc2b8a377a2e912', '8b6a7d5536f920666cda39a3cabdc7e722']","[8.09303376, 3.96036253, 0.25559125]","['714d933a74a1c045390802a19ba3f5b2ee', 'fe5872185fa9cba28878f806dff7d991b1', '00616549f4d24e047419c1d3cab9a2e7c9']","[2.92887197, 4.63163751, 4.71157297]",0.03690509
83fbe0f07628058b03667947b7452ee6ef305ee51b7ba77b7cceb7d5a878aa6a,1641145885,['83ffdcd06c234cd44863f2b51aa6975068'],[4.65950677],"['00616549f4d24e047419c1d3cab9a2e7c9', 'c688e64cc6c9cfe752e777fbfd20f0edfc', '8f9ff7ea57c5d14eece13c30dfa504e2e2']","[1.40263172, 1.02750909, 0.33471948]",0.06224338
0c89c56f2ad6c2e9a31a1e9071437f98b0fe1935ac31d552b332ac7f8f7728a2,1641213988,"['1a7cd91753ca4e52882b9576f1848b9341', 'e49e26b72f8a021227087e663909e3802a']","[3.00119619, 2.77444504]",['83ffdcd06c234cd44863f2b51aa6975068'],[4.48193396],0.0725662
752ca91cffc39ff9824e16fe8d87294cf1db10c84fd2cf0e87feb985f36c7600,1641359348,['e63f116d2f32b7a8c3598b113ec43fa669'],[0.00096625],['e7823a422eb566ac80671d684e17a48534'],[0.00014941],6.638e-05
eb0c6293f85b423f43bac55d73cd26f51e0dd0d6ad10c1c2b2e21e6d33224f9f,1641360758,"['d5f7ce1a9e9dd4f30c87c8623e9d924773', '6137c8da21e2b596a5c2527ff7f4809d0e', '9b511c4f31439699097e89f1c6e33773a8']","[7.02238584, 1.84624762, 4.60618243]",['618310393e6719583e61accbb8b3d095f2'],[13.39076488],0.08405101
39389970247cd66d3fba29a2b136f87036ba4e12d43f793e6330951c9d2e1e8e,1641391095,"['469a49668ea7a0b748af7ff812740b19a3', '07379709b32648049da2752090d830c1bb']","[8.07891852, 0.36953966]",['c816c976cc4e32fe16f3356407338a4e37'],[8.43286547],0.01559271
