txId,blockHash,blockHeight,timestamp,inputAddresses,outputAddresses,amount,fee,senderAddress,recipientAddress,transactionType
g1h2i3j4k5l6m7n8o9p0q1r2s3t4u5v6,00000000000000000006f45f78a98cea6e522b9aad3e8e25e185ebf7924b77a,553472,2021-05-13T08:35:19Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,smurfing
h1i2j3k4l5m6n7o8p9q0r1s2t3u4v5w6,0000000000000000000936d8211812c1d9fd35797b97dbe6f9a5b5e2e1bdd12,553473,2021-05-13T08:47:42Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,smurfing
i1j2k3l4m5n6o7p8q9r0s1t2u3v4w5x6,00000000000000000009d1ccba45ae2bdad36b0f3b1a951a0e5dfd362bbd81,553474,2021-05-13T08:59:24Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,smurfing
j1k2l3m4n5o6p7q8r9s0t1u2v3w4x5y6,00000000000000000001d7b22d75a5a1fc8ad8a2a5aa4f1ddb84f3c5fba3aa9,553475,2021-05-13T09:13:57Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",bc1q34aq5drpuwy3wgl9lhup9892qp6svr8ldzyy7c,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,bc1q34aq5drpuwy3wgl9lhup9892qp6svr8ldzyy7c,smurfing
k1l2m3n4o5p6q7r8s9t0u1v2w3x4y5z6,00000000000000000003c8abd21e5cb97a8f9ad84ca2d7b8c86ccd49a564dc8,553476,2021-05-13T09:25:33Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5,smurfing
l1m2n3o4p5q6r7s8t9u0v1w2x3y4z5a6,00000000000000000004eefaa13ca8d788d2bd6db96b55d5a3d2edcf35fb851,553477,2021-05-13T09:39:08Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq,smurfing
m1n2o3p4q5r6s7t8u9v0w1x2y3z4a5b6,00000000000000000002ff3cd3b171cb1b24bc511c57c9c31f5ce6596c2de45,553478,2021-05-13T09:52:41Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2,smurfing
n1o2p3q4r5s6t7u8v9w0x1y2z3a4b5c6,00000000000000000005a0d2e37deddea88c873aecb642bc8f0ea29cd8bc51a,553479,2021-05-13T10:07:14Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,smurfing
o1p2q3r4s5t6u7v8w9x0y1z2a3b4c5d6,0000000000000000000761bb6dadbdcf5a93e36d10f93756d71cfe34a5d2e57,553480,2021-05-13T10:19:36Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q,smurfing
p1q2r3s4t5u6v7w8x9y0z1a2b3c4d5e6,00000000000000000000f78bb1e5c7a9e463c21daf86ec7b15a9bd88d693b4e,553481,2021-05-13T10:31:52Z,"bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx",38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ,0.09,0.0001,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ,smurfing
