txId,blockHash,blockHeight,timestamp,inputAddresses,outputAddresses,amount,fee,senderAddress,recipientAddress,transactionType
a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6,000000000019d6689c085ae165831e934ff763ae46a2a6c172b3f1b60a8ce26f,553342,2021-05-10T14:32:17Z,"bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4",bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,0.5,0.0001,bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,standard
b1c2d3e4f5g6h7i8j9k0l1m2n3o4p5q6,00000000000000000007878ec04bb2b2e12317804810f4c26033585b3f81ffaa,553343,2021-05-10T14:45:21Z,"1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa",3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,1.2,0.0002,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,standard
c1d2e3f4g5h6i7j8k9l0m1n2o3p4q5r6,000000000000000000046add2d7f89ad84c3400a3f39f2bb623f0cab6ff596c2,553344,2021-05-10T15:12:45Z,"bc1q34aq5drpuwy3wgl9lhup9892qp6svr8ldzyy7c",bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,0.75,0.00015,bc1q34aq5drpuwy3wgl9lhup9892qp6svr8ldzyy7c,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,standard
d1e2f3g4h5i6j7k8l9m0n1o2p3q4r5s6,00000000000000000002ebcf691e2e68c52904e0daac28f1bc8e9ec37e584a65,553345,2021-05-10T15:34:19Z,"3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5",bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q,2.0,0.0003,3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5,bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q,standard
e1f2g3h4i5j6k7l8m9n0o1p2q3r4s5t6,0000000000000000000625d5e8bbd6ad87dbae85f3a7a4c9774061dcc5dd9cb,553346,2021-05-10T16:05:52Z,"bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq",14qViLJfdGaP4EeHnDyJbEGQysnCpwk3gd,1.5,0.00025,bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq,14qViLJfdGaP4EeHnDyJbEGQysnCpwk3gd,standard
f1g2h3i4j5k6l7m8n9o0p1q2r3s4t5u6,00000000000000000004c31193c887fe6056bbba47a15ccec2fa89fab97fa0a,553347,2021-05-10T16:38:14Z,"1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2",bc1qgl7h3v4kgenvr3mcx50tse3tpds8njtsjncvvk,0.35,0.00011,1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2,bc1qgl7h3v4kgenvr3mcx50tse3tpds8njtsjncvvk,standard
g1h2i3j4k5l6m7n8o9p0q1r2s3t4u5v6,000000000000000000034def675ab62f6a31a77a0a0ce0e6a8429cd8a7b3fad,553348,2021-05-10T17:14:28Z,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97",38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ,1.1,0.00018,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ,standard
h1i2j3k4l5m6n7o8p9q0r1s2t3u4v5w6,00000000000000000002b9df3ae3c80d55d91d40a903f4f1acc32c91f94a0da,553349,2021-05-10T17:55:06Z,"bc1q9yscq3l2h5l2nslc8axkxvsvazezx49q7zq3uhg3g4v3rc5lypyqdl3sj5",bc1qc7slrfxkknqcq2jevvvkdgvrt8080852dfjewde450xdlk4ugp7szw5tk9,0.9,0.00017,bc1q9yscq3l2h5l2nslc8axkxvsvazezx49q7zq3uhg3g4v3rc5lypyqdl3sj5,bc1qc7slrfxkknqcq2jevvvkdgvrt8080852dfjewde450xdlk4ugp7szw5tk9,standard
i1j2k3l4m5n6o7p8q9r0s1t2u3v4w5x6,00000000000000000001efac81c0837171cd0a4e0f6a5f57c98cb8e0b837b17,553350,2021-05-10T18:24:37Z,"1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK",bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,0.65,0.00013,1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,standard
j1k2l3m4n5o6p7q8r9s0t1u2v3w4x5y6,0000000000000000000312f5a1e3dd12d111a064a4b8977abc923676b6dbcfc,553351,2021-05-10T19:02:51Z,"bc1q7v5m3gu7d5nhnkq9qv86j9np92rnk4myn07pzc",3PzDUfeWDx92XP6KvoB83XyMzJU9xVLiwA,1.8,0.0002,bc1q7v5m3gu7d5nhnkq9qv86j9np92rnk4myn07pzc,3PzDUfeWDx92XP6KvoB83XyMzJU9xVLiwA,standard 
