hash,timestamp,input_addresses,input_values,output_addresses,output_values,fee
be3d24a408b7cda116761bf9c91b7ca696f881895eedbd37323100762ac30a8f,1641515199,"['4e926ac417eb42b65fe9e64dbd31f56082', 'be93b441ae5d0c8c205aa3c90cfbf4a106']","[0.62829587, 5.29388362]","['be93b441ae5d0c8c205aa3c90cfbf4a106', '3a6b144850eb872701016b1fe27dea1d3a', 'b20fbdd2d12a4448a195afeef127fdec58']","[2.65499497, 1.52045516, 1.72534654]",0.02138282
d821c4c352caddcfd2a58b3aaca6ff0b02cb6c3682962c2c00cefd161dcad1a8,1655908125,['bcd094b14e224bde0da4a0b9ee8a0ca2c9'],[2.58333033],['ed1ec93bc5f7c38aaf80e9029dda699088'],[2.55943412],0.02389621
5a380e20cc44f36de23cd32634f8627143a428c8089615b4812af10b45f43505,1642014952,['6ff8f273448452717d34fc1e52782e0fb9'],[3.31406695],"['13d8c2e0bd2bed329842792eb92de852ab', 'ff8a819983da0347822f41373d5b420096', '877c862bc520673f290192e91109c3d175']","[1.31131468, 0.98063027, 0.99858269]",0.02353931
75eb3d6fb447e0e3efba513fae10bda72938b23a31fdd57cb3b41b62382e8294,1653935328,['ed1ec93bc5f7c38aaf80e9029dda699088'],[9.3013912],"['be93b441ae5d0c8c205aa3c90cfbf4a106', '2a2a7fb8b00d4a96bc95edf83df1e54c91', '91f08b465a667efc5c072dd7f04774957a', '9bc16796957df78a5e2d9bc409ef51209b', 'd4c4ad3d656b9e92d8449f56d169a6e2d2']","[2.25419908, 1.75624198, 2.35065206, 0.47172977, 2.42790179]",0.04066652
f0be94009fb5360dcc0e78740ec6899f9b993201821e0e8fe710cd2eb09178fa,1666444426,"['5e52bae29d5cb1778a595a48de72f2d5a9', '3aa0379c63bed513d15e74b6b696fb883f']","[6.3754438, 2.41621709]","['79e057e7c7bf08ad69ef2ce4489b8d4c94', 'be93b441ae5d0c8c205aa3c90cfbf4a106', 'bcd094b14e224bde0da4a0b9ee8a0ca2c9', 'ab0376b34514579545eeaa7305def8e982']","[2.85191378, 0.7269131, 1.43207796, 3.76106732]",0.01968873
cd633d280d1071e395b65ba9b9b71bbe7238a205679c39f3e35da80cba338993,1656502368,['2bbad5aea55dc62bdb06d74b9f61fa1a23'],[0.86611964],"['ff8a819983da0347822f41373d5b420096', '4989cd7274f46860b01c65d2d4ea9f0d33', '3aa0379c63bed513d15e74b6b696fb883f', '9a018fe47bbcea4e3d5d87809cdda62edd']","[0.37399068, 0.07392089, 0.11663017, 0.2993889]",0.002189
9652dd5fc8dbaeaf158a6358e8ccd2033ddcdc0d47767be52df67d433a66eee6,1661834551,"['2bbad5aea55dc62bdb06d74b9f61fa1a23', 'edba6a897a08174dff262541e7c1ea1e8e']","[1.06781965, 2.4760042]","['877c862bc520673f290192e91109c3d175', '9bc16796957df78a5e2d9bc409ef51209b', '2bbad5aea55dc62bdb06d74b9f61fa1a23', 'ff8a819983da0347822f41373d5b420096', 'acca461c3fcc37bbb3255cae84336855a3']","[1.24113862, 0.87732363, 0.63668194, 0.09474197, 0.68923865]",0.00469904
20393ff21a2a0ccae0c400106119213210117cef77ff2d778fdcac69a2e72351,1641047884,"['bcd094b14e224bde0da4a0b9ee8a0ca2c9', '47245a9493c4711c9d5dfd4148bd2bbe98']","[1.2498337, 5.00955634]","['877c862bc520673f290192e91109c3d175', 'd4c4ad3d656b9e92d8449f56d169a6e2d2', '6fec691f29e4d18a4f8ea654e2e0053567', 'edba6a897a08174dff262541e7c1ea1e8e']","[2.86629704, 1.2872801, 0.53557357, 1.53441207]",0.03582726
e67828964b0a6aabdd373814c615a87907d82b1744300ad30e67c49df64fa70e,1656287995,['393bc9d4842d5756675fc894ffbc796e31'],[3.55893822],"['b20fbdd2d12a4448a195afeef127fdec58', 'e81b356c8a0b30e4900aa82827e047b8ee', '5e52bae29d5cb1778a595a48de72f2d5a9', '3cac2601f46cb8587412ae7880f6495b2a']","[0.48315235, 1.17949925, 0.73731825, 1.13901651]",0.01995186
935177b33b90d78e9957dd27fdadb1a1fb0383f82f85ee33136f8b2ce139c925,1661045486,"['3cac2601f46cb8587412ae7880f6495b2a', '6ff8f273448452717d34fc1e52782e0fb9']","[9.07607853, 9.53620998]","['fe6cbd217a8ca1f785a59b9ee2c2bfaccd', 'f450c507b27979779004cd5ab0239cf1db']","[6.78161946, 11.80347036]",0.02719869
