txId,blockHash,blockHeight,timestamp,inputAddresses,outputAddresses,amount,fee,senderAddress,recipientAddress,transactionType
642b93cd74604e8fa056730c27cdf9e7,000000000000ba7061c413451ed0d79c55957060222aa4ad753e3758e07f5632,614740,2023-10-31T22:19:45Z,"""bc1qgrau3n2f6wvzpn5kf3zj5xygdwcx4agj3w2miw09rcs56xegtlcqkf86t5""","""bc1q7v5m3gu7d5nhnkq9qv86j9np92rnk4myn07pzc""",0.04725438,3.019e-05,bc1qgrau3n2f6wvzpn5kf3zj5xygdwcx4agj3w2miw09rcs56xegtlcqkf86t5,bc1q7v5m3gu7d5nhnkq9qv86j9np92rnk4myn07pzc,smurfing
1dc4b4d7ff8341949016c35a692303a2,00000000e03d0105639d5eb011d9807fc9ef3c75c6210da8cc4564bfd0c11328,614101,2021-06-22T02:53:35Z,"""bc1q7h0y6cxs3rvy2ktlzpj3pq4jzhvaqxeg3kduvuyrx74fj4rq58jsz3pwpt""","""bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,3KJrsjfg1dD6CrsTeHdHVH3KqMgvUUdEEf,3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,1JCe8z4jJVNXSjohjM4i9Hh813dLCNx2Sy,3AnPbVsriqvk9D8RvTBSYiJANn6yDLx5K7,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,bc1qt9al9swgzsdw6kjlncxldgcxgmaae9j4u27hr3f6hhy8hjc5p8ash8zj0n,3PzDUfeWDx92XP6KvoB83XyMzJU9xVLiwA,bc1qwz46zdqspuzjnn8c9fdd4xdz3hl3pplefcv5rsh36fya8zkzrmuq0v9dvr,bc1qc7slrfxkknqcq2jevvvkdgvrt8080852dfjewde450xdlk4ugp7szw5tk9,bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,bc1qgrd8xq54k68ac3cvefdz3vukg3g5spef2rf4hx,1GBD9RJv2zQJQTMgJNfJ4qGBjKxFFWDYjS""",17.76525466,0.00077764,bc1q7h0y6cxs3rvy2ktlzpj3pq4jzhvaqxeg3kduvuyrx74fj4rq58jsz3pwpt,multiple_addresses,mixing_service
8b8c806fc1e34f0b82922530863827f6,000000000000000000ce94079a2eead757c78c51518925bd74f10dd1dfe4ad90,614652,2020-08-23T09:43:43Z,"""bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q""","""38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ""",2.0,0.00038479,bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q,38WJeuKbYjGP5GUZueG9GPT3qPRjFrPGAQ,structured_layering
e96280221ae84ae98844aeb3af9c4ffb,000000000094c056804e4f3d01a56299fc0ce195e7f158115f6646a91a2ef37a,611087,2020-10-03T17:15:20Z,"""18K6LJ9wFKSkYDA3dspT3A9N7uRsGTM7W2""","""bc1q5l8nmlvdjqju3s34nmx8hpgzss7u8t9rsusnxk4v03xx5jf5j6esyzphtj""",7.61312543,0.00088812,18K6LJ9wFKSkYDA3dspT3A9N7uRsGTM7W2,bc1q5l8nmlvdjqju3s34nmx8hpgzss7u8t9rsusnxk4v03xx5jf5j6esyzphtj,standard
742f8444db9a4a69812f98052d32ab08,000000000000005e7dab51d75ad87c8aae5edf2ac673ccce21632eb0ef63594c,610167,2021-03-13T12:20:56Z,"""17VZNX1SN5NtKa8UQFxwQbFeFc3iqRYhem""","""bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4""",6.47549596,0.00024942,17VZNX1SN5NtKa8UQFxwQbFeFc3iqRYhem,bc1qw508d6qejxtdg4y5r3zarvary0c5xw7kv8f3t4,standard
59661e8d32674be880bbba764b54fefd,0000000000001940ba8ad0af0b2fae66c83cae136c2b66c02a3c5318111f2a83,615081,2022-06-25T11:07:48Z,"""bc1qc7slrfxkknqcq2jevvvkdgvrt8080852dfjewde450xdlk4ugp7szw5tk9""","""17VZNX1SN5NtKa8UQFxwQbFeFc3iqRYhem""",0.01773893,4.955e-05,bc1qc7slrfxkknqcq2jevvvkdgvrt8080852dfjewde450xdlk4ugp7szw5tk9,17VZNX1SN5NtKa8UQFxwQbFeFc3iqRYhem,smurfing
2b9835fefb16459aa78d72a74168d90a,000000000003a96c6757b586d459f94b8c7d57af8cc7c5a45f30b8e4c8ff5574,611261,2021-09-26T11:40:03Z,"""18K6LJ9wFKSkYDA3dspT3A9N7uRsGTM7W2""","""bc1qt9al9swgzsdw6kjlncxldgcxgmaae9j4u27hr3f6hhy8hjc5p8ash8zj0n""",7.5696039,0.00017807,18K6LJ9wFKSkYDA3dspT3A9N7uRsGTM7W2,bc1qt9al9swgzsdw6kjlncxldgcxgmaae9j4u27hr3f6hhy8hjc5p8ash8zj0n,standard
8cf4956036e54f399de779e375670349,00000000000000000009e2f977e8fead05fb9afab08ede4f3a1e734dd5f14330,613302,2020-01-14T19:44:08Z,"""bc1qy6tzs4xfglu88l0l532cusvn37lykxr3e2ewm3vnmjl5g7dkddvsc9hf5y""","""1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa""",1.05069002,0.00086644,bc1qy6tzs4xfglu88l0l532cusvn37lykxr3e2ewm3vnmjl5g7dkddvsc9hf5y,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,standard
c3df16936fba48469cdeac0dde6a7e86,000000000000000073fd1ee297eacf0ea529d0dafe18175c32a2d0f8cdc1c90a,612293,2021-07-02T17:44:47Z,"""bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q""","""bc1q6rq97hvn08r5v77c9tt58xl8qtpntd60chwq5lz75rhqyr55y4esypf3wd""",0.520105,0.00094666,bc1q9d4ywgfnd8h43da5tpcxcn6ajv590cg6d3tg6axemvljvt2k76zs50tv4q,bc1q6rq97hvn08r5v77c9tt58xl8qtpntd60chwq5lz75rhqyr55y4esypf3wd,standard
98d3d1680db842c1ba3b65699fd323fc,00000000000000000689aaf14d4c58007ef0f38056618c15b2b61dca35f3a1f4,610217,2022-04-18T06:17:20Z,"""bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq""","""1JCe8z4jJVNXSjohjM4i9Hh813dLCNx2Sy""",3.97026568,0.00090097,bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq,1JCe8z4jJVNXSjohjM4i9Hh813dLCNx2Sy,standard
